,text,likes,timestamp
30,"""Instigators of anti-Christian persecution cry wolf to distract from their own guilt"" (in @dcexaminer looking at roots of #Manipur violence and those seeking to profit from depicting it in religious terms)

washingtonexaminer.com/opini… #India #Pakistan",7,08-08-2023
31,"Same like Manipur incident.. 
TRS Government how can u answer this under your rule alcohol is everywhere orphan girl on the way to home from her work was stopped by a monster and ripped her dress she was naked for 10 mins on main road in Jawahar nagar in Hyderabad..
1/2",691,08-08-2023
32,"Former ASP of Manipur ThounojambBrinda makes a detailed & sensational allegation on affidavit that Manipur CM Biren Singh is involved with the drug cartel of Manipur!
Must watch this interview with Karan Thapar.
piped.video/K0rZN3dQ51w",2736,08-07-2023
33,"Wow, this is what happens with no Accountability. Roaming freely and so openly with the arms looted from the state valley.

Are there more valley armories left to ""loot"" in Manipur !?
If there are, guess whether they will be ""looted"" or not !?!?

#ManipurGENOCIDE",538,08-08-2023
34,"Where is the law & order in Manipur Valley? 
@Spearcorps @AmitShah @narendramodi @JPNadda @blsanthosh @sambitswaraj @afridahussai @vijaita @sardesairajdeep @BDUTT @IndiaTodayNE @NELiveTV @republic @official_dgar",51,08-08-2023
35,"The Manipur state force against #Kuki_Zo tribals.
""One bullet one Kuki Militant"" a captioned of a Meitei WhatsApp status posing with an ammunition belt full of automatic weapon ammunition. 

If this is not a state sponsored terrorism, then what is this?

The Manipur state forces…",154,08-08-2023
36,"Dr. Manmohan Singh is 90 years old and ailing. Still he came to the Parliament on a wheelchair to do his duty for the nation and vote against the Delhi Service Bill.

Our 72 year old current PM is fit and fine. Still he couldn't come to the Parliament for a debate on Manipur.",5727,08-07-2023
37,Sooooo @himantabiswa that naked parade of two women of Manipur .. @AmitShah knew it? And he hide it? Is that what you are saying? Who is sponsoring the riots ? BJP/RSS? Amit Shah instructed police to help the rioters and loot the arms?,107,08-08-2023
38,"Congress MP @GauravGogoiAsm direct attack on Modi Govt.🔥🔥

-Why didn't PM go to Manipur despite the violence happening in Manipur for 3 months?

-Why did the PM take 80 days to make a statement on Manipur?

-Why is BJP not sacking the failed CM of Manipur?

#NoConfidenceMotion",200,08-08-2023
39,"Meitei civilians have been continuously gifted with sophisticated arms from State Armories by Govt.of Manipur.
This Sophisticated arms are being deployed by #MeiteiMilitants to continuously carry out its ethnic cleansing campaign of #Kuki_Zo 

Law & Order is death in Manipur.…",156,08-08-2023
40,"Let the government of India rejoice in burning down of Chingphei Kuki village!!!
We are praying for president rule but we get withdrawal !!
Where is equal protection of law ?
The Manipur police commando are shouting the top of their voice we don’t have free hand (read to wipe…",117,08-08-2023
